"0.ogg","Startgeräusch"
"1.ogg","Warte auf die Netzwerkkonfiguration."
"2.ogg","Kann keine Verbindung zum WLAN-Netzwerk herstellen. Bitte überprüfen Sie das WLAN-Passwort und versuchen Sie es später erneut."
"3.ogg","Kann keine Verbindung zum Server herstellen. Bitte überprüfen Sie Ihr lokales Netzwerk und versuchen Sie es später erneut."
"4.ogg","Der Roboter hat den Netzwerkkonfigurationsmodus verlassen."
"5.ogg","Netzwerk erfolgreich verbunden."
"6.ogg","Netzwerkverbindung fehlgeschlagen. Bitte versuchen Sie es später erneut."
"7.ogg","Beginne mit der Reinigung."
"8.ogg","Beginne mit der Punkt-reinigung."
"9.ogg","Beginne mit der geplanten Reinigung."
"10.ogg","Setze die Reinigung fort."
"11.ogg","Pausiert."
"12.ogg","Reinigungsaufgabe abgeschlossen."
"13.ogg","Kehre zur Basisstation zurück, um aufzuladen."
"14.ogg","Niedriger Batterie-stand. Kehre zur Basisstation zurück, um aufzuladen. Der Roboter wird nach dem Aufladen die Arbeit fortsetzen."
"15.ogg","Ich kehre bald zum Ausgangspunkt zurück."
"16.ogg","Niedriger Batterie-stand. Ich kehre bald zum Ausgangspunkt zurück. Bitte laden Sie mich auf."
"17.ogg","Bitte bringen Sie den Roboter zur Basisstation, damit er laden kann."
"18.ogg","Lade auf."
"19.ogg","Bitte entfernen Sie den Roboter von der Basisstation, bevor Sie ihn ausschalten."
"20.ogg","Niedriger Batterie-stand."
"21.ogg","Niedriger Batterie-stand. Der Roboter wird sich ausschalten."
"22.ogg","Bitte bringen Sie den Roboter in einen zu reinigenden Bereich."
"23.ogg","Wassertank wurde installiert."
"24.ogg","Bitte überprüfen Sie, ob der Wassertank ordnungsgemäß installiert ist."
"25.ogg","Niedriger Batterie-stand. Die geplante Reinigung kann nicht durchgeführt werden."
"26.ogg","Setze auf die Werkseinstellungen zurück."
"27.ogg","Aktualisieren. Dauert etwa fünf Minuten. Schalten Sie das Gerät nicht aus und starten Sie keine Reinigungsaufgabe."
"28.ogg","Erfolgreich aktualisiert."
"29.ogg","Update fehlgeschlagen, bitte versuchen Sie es später erneut."
"30.ogg","Positioniere, bitte warten."
"31.ogg","Positionierung fehlgeschlagen. Karte ist ungültig. Der Roboter startet eine neue Reinigung."
"32.ogg","Ich habe Veränderungen in der Umgebung festgestellt. Bitte drücken Sie die Taste und starten Sie einen neuen Reinigungszyklus."
"33.ogg","Fehler beim visuellen Navigationssensor. Bitte reinigen Sie ihn und starten Sie neu."
"34.ogg","Staubbehälter nicht installiert. Bitte installieren Sie ihn."
"35.ogg","Hauptbürstenfehler. Bitte überprüfen und reinigen."
"36.ogg","Seitenbürstenfehler. Bitte überprüfen und reinigen."
"37.ogg","Fehler am rechten Rad. Bitte überprüfen und reinigen."
"38.ogg","Fehler am linken Rad. Bitte überprüfen und reinigen."
"39.ogg","Bitte reinigen Sie den Absturz-Sensor."
"40.ogg","Roboter steckt fest. Bitte bewegen Sie ihn in eine neue Position, um neu zu starten."
"41.ogg","Roboter wurde aufgehoben. Bitte bewegen Sie den Roboter wieder auf den Boden."
"42.ogg","Bitte überprüfen und reinigen Sie den Filter."
"43.ogg","Stoßstangen-Fehler. Bitte klopfen Sie sanft darauf, um zu sehen, ob er zurückfedert."
"44.ogg","Fehler. Bitte überprüfen Sie das Benutzerhandbuch oder kontaktieren Sie den Kundenservice."
"45.ogg","Ich bin hier."
"46.ogg","Roboter und Telefon verbunden. Bitte kehren Sie zur App zurück und warten Sie auf das Ergebnis."
"47.ogg","Beginne mit dem Laden."
"48.ogg","Niedriger Batterie-stand. Kehre zur Basisstation zurück."
"49.ogg","Starkes Magnetfeld erkannt. Bitte bewegen Sie den Roboter weg und starten Sie den Vorgang neu."
"50.ogg","Ladefehler. Bitte reinigen Sie die Ladekontakte."
"51.ogg","Batterie überhitzt oder übermäßig gekühlt. Bitte warten Sie, bis die Batterietemperatur wieder normal ist. Danach können Sie den Roboter wieder verwenden."
"52.ogg","Roboter geneigt. Bitte stellen Sie ihn auf eine ebene Fläche, um neu zu starten."
"53.ogg","Virtuelle Sperr-Zone erkannt. Bitte bewegen Sie den Roboter weg und starten Sie neu."
"54.ogg","Positionierung erfolgreich. Setze die Reinigung fort."
"55.ogg","Positionierung erfolgreich. Setze die Rückkehr zur Basisstation fort."
"56.ogg","Beginne mit der Reinigung des ausgewählten Raums."
"57.ogg","Beginne mit der Zonen-Reinigung."
"58.ogg","Fahre mit der Reinigungsaufgabe fort."
"59.ogg","Wischvorgang abgeschlossen. Bitte entnehmen Sie den Wassertank rechtzeitig."
"60.ogg","Fehler beim Optischen Flusssensor. Bitte reinigen Sie den optischen Flusssensor und starten Sie neu."
"61.ogg","Beginne mit dem Wischen."
"62.ogg","Beginne mit der ferngesteuerten Reinigung."
"63.ogg","Wassertank wurde entfernt."
"64.ogg","Positionierung fehlgeschlagen. Karte ist ungültig. Der Roboter kehrt zur Basisstation zurück."
"65.ogg","Setze die Rückkehr zur Basisstation fort."
"66.ogg","Filter abgenutzt. Bitte ersetzen Sie ihn rechtzeitig."
"67.ogg","Seitenbürste abgenutzt. Bitte ersetzen Sie sie rechtzeitig."
"68.ogg","Hauptbürste abgenutzt. Bitte ersetzen Sie sie rechtzeitig."
"69.ogg","Reinigungspfad blockiert. Bitte bewegen Sie den Roboter in eine neue Position, um neu zu starten."
"70.ogg","Bitte entfernen und reinigen Sie das Wischkissen."
"71.ogg","Laser-Sensorfehler. Bitte überprüfen und reinigen Sie den Laser-Sensor."
"72.ogg","Bitte überprüfen Sie, ob die Abdeckung des Lasendistanzsensors blockiert ist."
"73.ogg","Kantensensorfehler. Bitte überprüfen und reinigen Sie ihn."
"74.ogg","Bitte versuchen Sie, die Hindernissensoren zu reinigen."
"75.ogg","Filter ist möglicherweise nicht trocken oder könnte blockiert sein."
"76.ogg","Punkt-reinigung beginnt."
"77.ogg","Bitte starten Sie den Roboter in einem nicht teppichbedeckten Bereich."
"78.ogg","Bitte reinigen Sie den 3D-Hindernisvermeidungssensor."
"79.ogg","Fehler im 3D-Hindernisvermeidungssensor. Bitte starten Sie den Roboter neu oder kontaktieren Sie den Kundenservice."
"80.ogg","Der Sender des 3D-Hindernisvermeidungssensors funktioniert nicht richtig. Bitte starten Sie den Roboter neu oder kontaktieren Sie den Kundendienst."
"81.ogg","Ultraschallsensorfehler. Bitte starten Sie den Roboter neu oder kontaktieren Sie den Kundenservice."
"82.ogg","Beginne mit der Kartierung."
"83.ogg","Fahre mit der Kartierung fort."
"84.ogg","Kartierung abgeschlossen."
"85.ogg","Positionierung erfolgreich. Fahre mit der Kartierung fort."
"86.ogg","Positionierung fehlgeschlagen. Starte die Kartierung neu."
"87.ogg","Niedriger Batterie-stand. Kehre zur Basisstation zurück."
"88.ogg","Wechsel in den Fernsteuerungsmodus."
"89.ogg","Fahre mit dem Aufladen fort."
"90.ogg","Fahre mit der Reinigungsaufgabe fort."
"91.ogg","Der Frischwassertank ist nicht installiert. Bitte installieren Sie ihn, bevor der Roboter weiterarbeiten kann."
"92.ogg","Der Abwassertank ist nicht installiert. Bitte installieren Sie ihn, bevor der Roboter weiterarbeiten kann."
"93.ogg","Im Frischwassertank ist nicht genügend Wasser. Füllen Sie den Tank auf, bevor der Roboter weiterarbeiten kann."
"94.ogg","Der Abwassertank ist voll. Entleeren Sie ihn, bevor der Roboter weiterarbeiten kann."
"95.ogg","Das Wischkissen ist nicht installiert. Der Roboter kann nicht zur Ladestation zurückkehren."
"96.ogg","Das Wischkissen läuft über. Bitte überprüfen Sie, ob der Wasserablauf des Kissens blockiert ist."
"97.ogg","Der Staubauffangbehälter ist nicht installiert. Bitte installieren Sie ihn, bevor der Roboter weiterarbeiten kann."
"98.ogg","Der Staubauffangbehälter ist voll. Bitte leeren Sie ihn."
"99.ogg","Die obere Abdeckung des Lade- und Staubauffangbehälter ist nicht geschlossen. Bitte schließen Sie die obere Abdeckung, bevor der Roboter weiterarbeiten kann."
"100.ogg","Der Luftkanal des Lade- und Staubauffangbehälter ist blockiert. Bitte überprüfen Sie ihn."
"101.ogg","Die obere Abdeckung der automatischen Reinigungsstation ist nicht geschlossen oder der Staubauffangbehälter ist nicht installiert. Bitte schließen Sie die obere Abdeckung oder installieren Sie den Behälter."
"102.ogg","Der Staubauffangbehälter ist voll oder der Luftkanal ist blockiert. Bitte ersetzen Sie den Behälter rechtzeitig oder reinigen Sie den Luftkanal."
"103.ogg","Das Wischkissen ist installiert. Der Roboter setzt die Arbeit fort."
"104.ogg","Das Wischkissen ist nicht installiert. Bitte stellen Sie sicher, dass ein Wischkissen installiert ist und die Klammern auf beiden Seiten fest verschlossen sind."
"105.ogg","Beginne mit der Reinigung."
"106.ogg","Beginne mit der Reinigung des Wischkissen."
"107.ogg","Beginne mit der Entwässerung des Wischkissen."
"108.ogg","Der Wasserstand des Wischkissen ist abnormal. Bitte reinigen Sie ihn rechtzeitig, um eine Blockierung zu vermeiden."
"109.ogg","Es ist eine Ausnahme im Abwassertank aufgetreten. Bitte stellen Sie sicher, dass ein Abwassertank installiert ist und entleeren Sie das darin befindliche Abwasser rechtzeitig."
"110.ogg","Beginne mit dem automatischen Entleeren."
"111.ogg","Wischkissen abgenommen. Bitte installieren Sie es, bevor die Arbeit fortsetzt werden kann."
"112.ogg","Stellen Sie den Roboter vor der Verwendung wieder auf die automatische Reinigungsstation"
"113.ogg","Aufgabe abgeschlossen. Bitte entleeren Sie den Abwassertank rechtzeitig."
"114.ogg","Wischkissen installiert."
"115.ogg","Wischkissen entfernt."
"116.ogg","Kindersicherung eingeschaltet. Tasten gesperrt."
"117.ogg","Kindersicherung ausgeschaltet. Tasten entsperrt."
"118.ogg","Tasten gesperrt. Drücken und halten Sie die Basisstation-Taste, um zu entsperren."
"119.ogg","Tasten gesperrt."
"120.ogg","Tasten entsperrt."
"121.ogg","Der Roboter und das Telefon sind verbunden. Bitte kehren Sie zur Fantic-App zurück und warten Sie, bis die Netzwerkverbindung abgeschlossen ist."
"122.ogg","Positionierung wird durchgeführt, bitte warten."
"126.ogg","Beginne mit der Reinigung."
"127.ogg","Beginne mit der Punkt-reinigung."
"128.ogg","Beginne mit der Punkt-wischnung."
"129.ogg","Beginne mit der geplanten Reinigung."
"130.ogg","Beginne mit der geplanten Wischung."
"131.ogg","Beginne mit der Punkt-reinigung."
"132.ogg","Beginne mit der Punkt-wischnung."
"133.ogg","Beginne mit der Reinigung des ausgewählten Raums."
"134.ogg","Beginne mit der Wischung des ausgewählten Raums."
"135.ogg","Beginne mit Zonen-Reinigung."
"136.ogg","Beginne mit Zonen-Wischung."
"137.ogg","Setze die Reinigung fort."
"138.ogg","Setze das Wischen fort."
"139.ogg","Setze die Rückkehr zur Basis für die Selbstreinigung fort."
"140.ogg","Neue Umgebung erkannt. Kehre zur automatischen Reinigungsstation zurück."
"141.ogg","Fehler beim Wischkissen. Bitte überprüfen und reinigen Sie es."
"142.ogg","Wischkissen abgenutzt. Bitte ersetzen Sie es rechtzeitig."
"143.ogg","Reinigung abgeschlossen."
"144.ogg","Wischen abgeschlossen."
"145.ogg","Positionierung erfolgreich. Setze die Reinigung fort."
"146.ogg","Positionierung erfolgreich. Setze das Wischen fort."
"148.ogg","Kehre für die Selbstreinigung zur Basis zurück."
"149.ogg","Konnte den angegebenen Bereich nicht erreichen. Bitte versuchen Sie, Hindernisse auf dem Weg zu beseitigen."
"150.ogg","Konnte den angegebenen Bereich nicht erreichen. Bitte versuchen Sie, Sperr-Zone auf dem Weg zu löschen."
"151.ogg","Der Weg ist blockiert. Bitte versuchen Sie, Hindernisse um Ihren Roboter herum zu beseitigen."
"152.ogg","Der Weg ist blockiert. Bitte versuchen Sie, Sperr-Zone zu löschen oder Ihren Roboter aus diesem Bereich zu bewegen."
"153.ogg","Ihr Roboter befindet sich in der Sperr-Zone. Bitte bewegen Sie Ihren Roboter aus diesem Bereich."
"154.ogg","Zu häufige Bedienung. Bitte versuchen Sie es später erneut."
"155.ogg","Beginne mit der Rückkehr zur Lade- und Reinigungsstation."
"156.ogg","Wischkissen deinstalliert."
"157.ogg","Ich befinde mich bereits in der Lade- und Reinigungsstation."
"200.ogg","Herunterfahrgeräusch"
